" Cloud Service Provider"," Cloud Service Offering"," Type"," Leveraged A T O"," Authorization Date"," Agency"," Subagency"," Independent Assessor"
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Health and Human Services,National Institutes of Health,
Amazon,AWS GovCloud,JAB,Yes,,National Labor Relations Board,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,National Labor Relations Board,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,National Labor Relations Board,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,National Labor Relations Board,,
Amazon,AWS GovCloud,JAB,Yes,,Department of Energy,National Nuclear Security Administration,
Amazon,AWS US East/West,JAB,Yes,,Department of Energy,National Nuclear Security Administration,
Amazon,AWS GovCloud,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,
Amazon,AWS GovCloud,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Amazon,AWS US East/West,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
"CrowdStrike, Inc.",Falcon Platform,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Mission Support Alliance,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
MIS Sciences Corporation,GovPoint Cloud Services,JAB,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services - WildFire,Agency,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
Smartsheet,Smartsheet Gov,JAB,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
Google,Google G Suite,Agency,Yes,,Department of Commerce,National Oceanic and Atmospheric Administration,
Decision Lens Inc.,Decision Lens Software,Agency,Yes,,Department of the Interior,National Park Service,
Amazon,AWS US East/West,JAB,Yes,,Department of Energy,National Renewable Energy Laboratory,
Akamai,Content Delivery Services,JAB,Yes,,National Science Foundation,,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,National Science Foundation,,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,National Science Foundation,,
Amazon,AWS GovCloud,JAB,Yes,,National Science Foundation,,
AirWatch,Airwatch by VMware Government Services (AGS),Agency,Yes,,National Science Foundation,,
"FireEye, Inc.",FireEye Email Security GovCloud,Agency,Yes,,National Science Foundation,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,National Science Foundation,,
"Druva, Inc.",Druva inSync,Agency,Yes,,National Science Foundation,,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,National Science Foundation,,
Amazon,AWS US East/West,JAB,Yes,,National Science Foundation,,
BlackBerry,BlackBerry Protect,Agency,Yes,,National Science Foundation,,
Adobe,Adobe Creative Cloud for Enterprise,Agency,Yes,,National Science Foundation,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,National Science Foundation,,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,National Science Foundation,,
GitHub,GitHub Enterprise Cloud,Agency,Yes,,National Science Foundation,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,National Science Foundation,,
Accenture Federal Services,Accenture Federal Cloud ERP,Agency,No,06/12/2019,National Science Foundation,,"Coalfire Systems, Inc."
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,National Science Foundation,,
ServiceNow,Government Community Cloud,JAB,Yes,,National Science Foundation,,
Splunk,Splunk Cloud,Agency,Yes,,National Science Foundation,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,National Technical Information Service,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,National Telecommunications and Information Administration,
Esri,ArcGIS Online (AGO),Agency,Yes,,Department of Commerce,National Telecommunications and Information Administration,
OneStream Software,OneStream XF Cloud,Agency,Yes,,Department of Commerce,National Telecommunications and Information Administration,
Esri,Esri Managed Cloud Services Advanced Plus,Agency,Yes,,Department of Commerce,National Telecommunications and Information Administration,
AT&T Cybersecurity,AT&T Threat Detection and Response for Government,Agency,No,,National Transportation Safety Board,,Kratos
SAP National Security Services Inc. (SAP NS2),SAP NS2 Secure Node with SuccessFactors Suite - DoD,Agency,Yes,,Department of Defense,North American Aerospace Defense Command & United States Northern Command,
Akamai,Content Delivery Services,JAB,Yes,,Nuclear Regulatory Commission,,
Appian,Appian Cloud,Agency,Yes,,Nuclear Regulatory Commission,,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Nuclear Regulatory Commission,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Nuclear Regulatory Commission,,
Amazon,AWS GovCloud,JAB,Yes,,Nuclear Regulatory Commission,,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Nuclear Regulatory Commission,,
Amazon,AWS US East/West,JAB,Yes,,Nuclear Regulatory Commission,,
IdeaScale,IdeaScale Gov,Agency,Yes,,Nuclear Regulatory Commission,,
Oracle,Government Cloud - Common Controls,JAB,Yes,,Nuclear Regulatory Commission,,
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,Yes,,Nuclear Regulatory Commission,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Nuclear Regulatory Commission,,
Everbridge,Everbridge Suite,Agency,Yes,,Nuclear Regulatory Commission,,
Oracle,Enterprise Planning and Budgeting Cloud Services a component of Oracle Enterprise Performance Management (EPM),Agency,Yes,,Nuclear Regulatory Commission,,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Nuclear Regulatory Commission,,
GitHub,GitHub Enterprise Cloud,Agency,Yes,,Nuclear Regulatory Commission,,
Unison,Contracting SaaS,Agency,Yes,,Nuclear Regulatory Commission,,
"VBrick Systems, Inc.",VBrick Rev,Agency,Yes,,Nuclear Regulatory Commission,,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Nuclear Regulatory Commission,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Nuclear Regulatory Commission,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Nuclear Regulatory Commission,,
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services - WildFire,Agency,Yes,,Nuclear Regulatory Commission,,
Smartsheet,Smartsheet Gov,JAB,Yes,,Nuclear Regulatory Commission,,
Ex Libris,"Higher-Ed Platform (Alma, Primo, Leganto, Esploro)",Agency,Yes,,Nuclear Regulatory Commission,,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Nuclear Regulatory Commission,,
PowerTrain Inc.,Web Development and Hosting,Agency,Yes,,Nuclear Regulatory Commission,,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Nuclear Regulatory Commission,,
McAfee,MVISION Cloud,JAB,Yes,,Nuclear Regulatory Commission,,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,Oak Ridge National Laboratory,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Labor,Occupational Safety and Health Administration,
United States Department of Agriculture,USDA Digital Infrastructure Services Center,Agency,Yes,,Department of Labor,Occupational Safety and Health Administration,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Justice,Office of Justice Programs,
Amazon,AWS GovCloud,JAB,Yes,,Department of Justice,Office of Justice Programs,
Amazon,AWS US East/West,JAB,Yes,,Department of Justice,Office of Justice Programs,
Socrata,Socrata Data Platform,Agency,Yes,,Department of Justice,Office of Justice Programs,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Justice,Office of Justice Programs,
Project Hosts,Federal Private Cloud,Agency,Yes,,Department of Justice,Office of Justice Programs,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Justice,Office of Justice Programs,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Justice,Office of Justice Programs,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Justice,Office of Justice Programs,
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of Justice,Office of Justice Programs,
AINS,eCase,Agency,Yes,,Department of Justice,Office of Justice Programs,
IBM,SmartCloud for Government,JAB,Yes,,Department of the Interior,Office of Natural Resources Revenue,
MicroPact,MicroPact Product Suite,Agency,Yes,,Office of Personnel Management,,
MAXIMUS Inc.,MAXIMUS Genesys Engagement Platform,Agency,No,02/16/2017,Office of Personnel Management,,"Coalfire Systems, Inc."
BlackBerry,BlackBerry Protect,Agency,No,04/20/2018,Office of Personnel Management,,Booz Allen Hamilton
IBM,SmartCloud for Government,JAB,Yes,,Office of Personnel Management,,
PowerTrain Inc.,Web Development and Hosting,Agency,No,12/19/2019,Office of Personnel Management,,"MindPoint Group, LLC"
"Sentinel Labs, Inc.",SentinelOne Endpoint Protection Platform,Agency,No,07/07/2020,Office of Personnel Management,,"Schellman & Company, LLC"
Virtustream,Federal Cloud (VFC),JAB,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Amazon,AWS GovCloud,JAB,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
"Innovative Discovery, LLC",Innovative Discovery Government Cloud (IDGC),Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Qualys,Qualys Cloud Platform,Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
Netskope,Netskope OneCloud Government,Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
AINS,eCase,Agency,Yes,,Department of the Treasury,Office of the Comptroller of the Currency,
"Everlaw, Inc.",Everlaw Platform,Agency,Yes,,Department of Transportation,Office of the Secretary of Transportation,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Interior,Office of the Special Trustee for American Indians,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Other Executive Branch Agency,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Peace Corps,,
Amazon,AWS US East/West,JAB,Yes,,Peace Corps,,
Everbridge,Everbridge Suite,Agency,Yes,,Peace Corps,,
HireVue,Recruitment Assessments and Video Interviewing,Agency,No,03/12/2019,Peace Corps,,"Schellman & Company, LLC"
AINS,eCase,Agency,Yes,,Peace Corps,,
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Pension Benefit Guaranty Corporation,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Pension Benefit Guaranty Corporation,,
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,No,07/19/2017,Pension Benefit Guaranty Corporation,,"Schellman & Company, LLC"
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Pension Benefit Guaranty Corporation,,
Everbridge,Everbridge Suite,Agency,Yes,,Pension Benefit Guaranty Corporation,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Pension Benefit Guaranty Corporation,,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Pension Benefit Guaranty Corporation,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Pension Benefit Guaranty Corporation,,
ServiceNow,Government Community Cloud,JAB,Yes,,Pension Benefit Guaranty Corporation,,
"TalaTek, LLC",TalaTek intelligent Governance and Risk Integrated Solution (TiGRIS),Agency,No,09/30/2019,Pension Benefit Guaranty Corporation,,"Earthling Security, LLC"
General Services Administration,Login.gov,Agency,Yes,,Pension Benefit Guaranty Corporation,,
MIS Sciences Corporation,GovPoint Cloud Services,JAB,Yes,,Pretrial Services Agency,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Pretrial Services Agency,,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Pretrial Services Agency,,
MuleSoft,MuleSoft Government Cloud,Agency,Yes,,Pretrial Services Agency,,
IBM,IBM Cloud for Government,JAB,Yes,,Pretrial Services Agency,,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Railroad Retirement Board,,
MIS Sciences Corporation,GovPoint Cloud Services,JAB,Yes,,Railroad Retirement Board,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Small Business Administration,,
CircleCI,CircleCI Cloud,Agency,No,09/24/2018,Small Business Administration,,The Cadence Group
Microsoft,Azure Commercial Cloud,JAB,Yes,,Small Business Administration,,
AirWatch,Airwatch by VMware Government Services (AGS),Agency,Yes,,Social Security Administration,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Social Security Administration,,
Amazon,AWS US East/West,JAB,Yes,,Social Security Administration,,
Amazon,AWS US East/West,JAB,Yes,,Social Security Administration,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Social Security Administration,,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,Social Security Administration,,
Everbridge,Everbridge Suite,Agency,Yes,,Social Security Administration,,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Social Security Administration,,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Social Security Administration,,
ServiceNow,Government Community Cloud,JAB,Yes,,Social Security Administration,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Energy,Southwestern Power Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,Southwestern Power Administration,
Akamai,Content Delivery Services,JAB,Yes,,Department of State,State Office of the Inspector General,
MicroFocus,Fortify on Demand,JAB,Yes,,Department of State,State Office of the Inspector General,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of State,State Office of the Inspector General,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of State,State Office of the Inspector General,
Zscaler,Zscaler Internet Access – Government (Secure Web Gateway – vTIC),Agency,Yes,,Department of State,State Office of the Inspector General,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of State,State Office of the Inspector General,
PowerTrain Inc.,Web Development and Hosting,Agency,Yes,,Department of State,State Office of the Inspector General,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of State,State Office of the Inspector General,
Zscaler,Zscaler Private Access – Government (Zero Trust Networking – VPN Replacement),JAB,Yes,,Department of State,State Office of the Inspector General,
AINS,eCase,Agency,Yes,,Department of State,State Office of the Inspector General,
Appian,Appian Cloud,Agency,Yes,,Surface Transportation Board,,
Amazon,AWS US East/West,JAB,Yes,,Surface Transportation Board,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Surface Transportation Board,,
ServiceNow,Government Community Cloud,JAB,Yes,,Surface Transportation Board,,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Surface Transportation Board,,
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Surface Transportation Board,,
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,Yes,,Tennessee Valley Authority,,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Tennessee Valley Authority,,
Amazon,AWS US East/West,JAB,Yes,,Tennessee Valley Authority,,
Adobe,Adobe Creative Cloud for Enterprise,Agency,Yes,,Tennessee Valley Authority,,
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,Yes,,Tennessee Valley Authority,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Tennessee Valley Authority,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Tennessee Valley Authority,,
"CrowdStrike, Inc.",Falcon Platform,Agency,Yes,,Tennessee Valley Authority,,
FM:Systems,Resource Scheduler Room and Real Estate Utilization,Agency,Yes,,Tennessee Valley Authority,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Tennessee Valley Authority,,
Smartsheet,Smartsheet Gov,JAB,Yes,,Tennessee Valley Authority,,
ServiceNow,Government Community Cloud,JAB,Yes,,Tennessee Valley Authority,,
Workiva,Wdesk,Agency,No,06/17/2019,Tennessee Valley Authority,,"Coalfire Systems, Inc."
Collibra,Data Governance Center,Agency,No,09/12/2019,Tennessee Valley Authority,,"Coalfire Systems, Inc."
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Tennessee Valley Authority,,
AINS,eCase,Agency,Yes,,Tennessee Valley Authority,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Homeland Security,Transportation Security Administration,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Homeland Security,Transportation Security Administration,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Homeland Security,Transportation Security Administration,
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,Yes,,Department of Homeland Security,Transportation Security Administration,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Homeland Security,Transportation Security Administration,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,U.S. Election Assistance Commission,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,U.S. Election Assistance Commission,,
"KnowBe4, Inc.",KnowBe4 Security Awareness Training,Agency,Yes,,U.S. Election Assistance Commission,,
Oracle,Federal Managed Cloud Services,JAB,Yes,,U.S. International Development Finance Corporation,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,U.S. International Development Finance Corporation,,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,U.S. International Development Finance Corporation,,
Oracle,Enterprise Planning and Budgeting Cloud Services a component of Oracle Enterprise Performance Management (EPM),Agency,Yes,,U.S. International Development Finance Corporation,,
Sirsi Corporation (SirsiDynix),EOS.Web,Agency,No,01/30/2019,U.S. International Development Finance Corporation,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services - Prisma Access,Agency,No,,U.S. International Development Finance Corporation,,Kratos
1901 Group,in3sight,Agency,No,07/26/2018,United States Access Board,,"Coalfire Systems, Inc."
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Defense,United States Africa Command,
Akamai,Content Delivery Services,JAB,Yes,,United States Agency for Global Media,,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,United States Agency for Global Media,,
Adobe,Adobe Creative Cloud for Enterprise,Agency,No,05/14/2018,United States Agency for Global Media,,"Coalfire Systems, Inc."
Adobe,Adobe Document Cloud (PDF Services & Adobe Sign),Agency,No,05/14/2018,United States Agency for Global Media,,"Coalfire Systems, Inc."
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,United States Agency for Global Media,,
Avue Technologies,Avue Digital Services,Agency,Yes,,United States Agency for Global Media,,
"XTec, Incorporated",AuthentX Cloud,Agency,No,09/24/2018,United States Agency for Global Media,,"Coalfire Systems, Inc."
Northrop Grumman,Northrop Grumman Cloud Platform,Agency,No,03/04/2020,United States Agency for Global Media,,"Coalfire Systems, Inc."
Akamai,Content Delivery Services,JAB,Yes,,United States Agency for International Development,,
MicroPact,MicroPact Product Suite,Agency,Yes,,United States Agency for International Development,,
AirWatch,Airwatch by VMware Government Services (AGS),Agency,Yes,,United States Agency for International Development,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,United States Agency for International Development,,
Amazon,AWS US East/West,JAB,Yes,,United States Agency for International Development,,
Socrata,Socrata Data Platform,Agency,Yes,,United States Agency for International Development,,
Microsoft,Azure Commercial Cloud,JAB,Yes,,United States Agency for International Development,,
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,Yes,,United States Agency for International Development,,
Dell Boomi,AtomSphere,Agency,No,06/11/2019,United States Agency for International Development,,"Schellman & Company, LLC"
ServiceNow,Government Community Cloud,JAB,Yes,,United States Agency for International Development,,
Unison,FedConnect,Agency,No,09/20/2019,United States Agency for International Development,,"Coalfire Systems, Inc."
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,United States Agency for International Development,,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,United States Agency for International Development,,
Google,Google G Suite,Agency,Yes,,United States Agency for International Development,,
AINS,eCase,Agency,Yes,,United States Agency for International Development,,
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,No,08/07/2020,United States Agency for International Development,,"Coalfire Systems, Inc."
MicroFocus,Fortify on Demand,JAB,Yes,,Department of Defense,United States Air Force,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Defense,United States Air Force,
Oracle,Oracle Service Cloud,JAB,Yes,,Department of Defense,United States Air Force,
Navman Wireless North America Ltd.,Teletrac Navman DIRECTOR,JAB,Yes,,Department of Defense,United States Air Force,
QuestionMark,Questionmark OnDemand for Government,Agency,Yes,,Department of Defense,United States Air Force,
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of Defense,United States Air Force,
MicroFocus,Fortify on Demand,JAB,Yes,,Department of Defense,United States Army,
Amazon,AWS GovCloud,JAB,Yes,,Department of Defense,United States Army,
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,Yes,,Department of Defense,United States Army,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Defense,United States Army,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Defense,United States Army,
Oracle,Fusion Cloud,Agency,Yes,,Department of Defense,United States Army,
Akamai,Content Delivery Services,JAB,Yes,,Department of Commerce,United States Census Bureau,
MAXIMUS Inc.,MAXIMUS Cloud,JAB,Yes,,Department of Commerce,United States Census Bureau,
Amazon,AWS GovCloud,JAB,Yes,,Department of Commerce,United States Census Bureau,
Amazon,AWS GovCloud,JAB,Yes,,Department of Commerce,United States Census Bureau,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Commerce,United States Census Bureau,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,Department of Commerce,United States Census Bureau,
OneSpan Inc.,"OneSpan Sign, E-Signature and Digital Signature Service",Agency,Yes,,Department of Commerce,United States Census Bureau,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Department of Commerce,United States Census Bureau,
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,Yes,,Department of Commerce,United States Census Bureau,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Commerce,United States Census Bureau,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
IBM,IBM Cloud for Government,JAB,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
New Relic,New Relic,Agency,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
Nintex,Nintex Drawloop DocGen,Agency,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Homeland Security,United States Coast Guard,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,United States Commission on Civil Rights,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,United States Equal Employment Opportunity Commission,,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,United States Equal Employment Opportunity Commission,,
18F,18F Cloud.gov,JAB,Yes,,Department of Agriculture,United States Forest Service,
BMC Software,BMC Helix,Agency,Yes,,Department of Agriculture,United States Forest Service,
Axon,Axon Evidence.com,JAB,Yes,,Department of Agriculture,United States Forest Service,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of Agriculture,United States Forest Service,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Agriculture,United States Forest Service,
IBM,IBM Cloud for Government,JAB,Yes,,Department of Agriculture,United States Forest Service,
Oracle,Federal Managed Cloud Services,JAB,Yes,,United States Government Publishing Office,,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,United States Government Publishing Office,,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,United States House of Representatives,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,United States House of Representatives,,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,United States House of Representatives,,
"Avaya, Inc.",Avaya Cloud Secure,Agency,No,12/20/2018,United States House of Representatives,,SecureIT
Contegix,SecureCloud,Agency,Yes,,United States House of Representatives,,
Salesforce,Salesforce Government Cloud,Agency,Yes,,United States International Trade Commission,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,United States International Trade Commission,,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,United States International Trade Commission,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,United States International Trade Commission,,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,United States International Trade Commission,,
MIS Sciences Corporation,GovPoint Cloud Services,JAB,Yes,,Department of Defense,United States Marine Corps,
